	Visual Properties						Labels				Layout						Graph Metrics									Do Not Edit		Other Columns																		
Vertex	Color	Shape	Size	Opacity	Image File	Visibility	Label	Label Fill Color	Label Position	Tooltip	Layout Order	X	Y	Locked?	Polar R	Polar Angle	Degree	In-Degree	Out-Degree	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	PageRank	Clustering Coefficient	Reciprocated Vertex Pair Ratio	ID	Dynamic Filter	Add Your Own Columns Here	Followed	Followers	Tweets	Favorites	Time Zone UTC Offset (Seconds)	Description	Location	Web	Time Zone	Joined Twitter Date (UTC)	Custom Menu Item Text	Custom Menu Item Action	Tweeted Search Term?	User of Interest?				
jaynelugtu					http://pbs.twimg.com/profile_images/524220177185923073/j_Ljb4Go_normal.jpeg					"jaynelugtu

reunited with ate Nicole and Tita
Lai :) Welcome back to the Phils.
http://t.co/vtkNyWiDb9 http://t.co/7Z6FIqQ7hp"																			156	255	543	383		Grade 2 SPED GT Student. I value God and Family. I love to watch movies. My favorite TV Show is Going Bulilit. (followed by joshuagarcia and LoisaAndalio				41915.10289	Open Twitter Page for This Person	https://twitter.com/jaynelugtu	Yes					
endikatl					http://pbs.twimg.com/profile_images/3565693986/c00cf9a63384c4ad85f7241c5912e81f_normal.jpeg					"endikatl

@marinaduranluna gracias! :) no
se te puede culpar por lo de maquera.
Me gusta Apple, aunque por principios
no pagaría sus precios :p"																			980	975	6403	1261	3600	"informático y politólogo, máster en R.R.I.I. Blogger en @Andro4all . S.G de @JSBizkaia"	Bilbao		Madrid	40583.41887	Open Twitter Page for This Person	https://twitter.com/endikatl	Yes					
marinaduranluna					http://pbs.twimg.com/profile_images/470279315263737856/DA9LdJHP_normal.jpeg					"marinaduranluna

"																			754	569	2528	3825		"FEMINISTA del Psoe     Doctora en Literatura y activista politica, además de Free Lance."				41548.48175	Open Twitter Page for This Person	https://twitter.com/marinaduranluna	No					
c2saucy					http://pbs.twimg.com/profile_images/524601448571482112/W1xUgqXL_normal.jpeg					"c2saucy

IF YOU LOVE ME YOU SHOULD GET MY
NEW SONG ON ITUNES :) C2Saucy -
Monster - Single - https://t.co/9s70cKvEqk
#iTunes"																			12346	14303	51588	5321	-25200	C2Saucy - Monster - Single - https://t.co/pgbLOswwLp #iTunes	"Sauce, California"	https://t.co/PcdptvABfm	Pacific Time (US & Canada)	40756.01657	Open Twitter Page for This Person	https://twitter.com/c2saucy	Yes					
brandyy_candyy					http://pbs.twimg.com/profile_images/524474356454268929/c1Pcqb0S_normal.jpeg					"brandyy_candyy

RT @c2saucy: IF YOU LOVE ME YOU
SHOULD GET MY NEW SONG ON ITUNES
:) C2Saucy - Monster - Single -
https://t.co/9s70cKvEqk #iTunes"																			112	63	157	184		Im the life of the party throw that ass in a circle be open minded follow me on IG and vine @brandy_candyyy snapchat me @brandelicious5	Mesa Arizona			41933.34356	Open Twitter Page for This Person	https://twitter.com/brandyy_candyy	Yes					
cheyannminnich1					http://pbs.twimg.com/profile_images/527252449749254145/b_FbKIYs_normal.jpeg					"cheyannminnich1

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			496	120	694	50						41062.55156	Open Twitter Page for This Person	https://twitter.com/cheyannminnich1	Yes					
legender93					http://pbs.twimg.com/profile_images/526092094566563841/ndBCznvQ_normal.jpeg					"legender93

@snoopeh if you ever need help
with something, feel free to ask!
Grown up with apple, some family
works for apple, etc! :)"																			172	84	6042	4095	-14400	AshiKara(oke) on YT / WolfehMaster or Gender in youtaiteland / Ashiko in gamingland	"CT, USA"		Eastern Time (US & Canada)	39977.11728	Open Twitter Page for This Person	https://twitter.com/legender93	Yes					
snoopeh					http://pbs.twimg.com/profile_images/447680234922323968/fu0pNLZJ_normal.jpeg					"snoopeh

"																			519	174017	11269	1171	0	"Professional Player previously of SK Gaming,  CLG & Evil Geniuses.

Event Host / Public Speaking. 

Contact: snoopeh.hidden@gmail.com"	"Scotland, UK"	http://t.co/y6C5aPo3S0	London	40891.22711	Open Twitter Page for This Person	https://twitter.com/snoopeh	No					
s8urn					http://pbs.twimg.com/profile_images/488386057176485888/Cd0itOY8_normal.png					"s8urn

RT @zyafa: Coinverter for OS X
is now live on the App Store! Go
grab it now! :) https://t.co/5DwiSaRAzX"																			58	27	1076	66	7200	"Rocket Man, Apple Genius, Nerd"	"Kiev, Ukraine"	http://t.co/3usB4vSoTh	Kyiv	40219.92233	Open Twitter Page for This Person	https://twitter.com/s8urn	Yes					
cameronxinglis					http://pbs.twimg.com/profile_images/495619779541999616/U7mGKrq6_normal.jpeg					"cameronxinglis

That's cool apple, I wanted you
to erase everything on my phone
while I was updating it :-) :-)
:-)"																			308	329	2763	1224	-18000	Abnormally tall - UNC '16 - K?		http://t.co/g3a7itximR	Quito	40657.79638	Open Twitter Page for This Person	https://twitter.com/cameronxinglis	Yes					
cirdan12					http://pbs.twimg.com/profile_images/701277124/magic_mushroom__ufo_icon__normal.png					"cirdan12

RT @landonfuller: Apple actually
hosts MacPorts, including its build
servers. Shame we can't get them
to also sign the kext package builds
…"																			307	113	29593	742	-14400				Eastern Time (US & Canada)	40226.5356	Open Twitter Page for This Person	https://twitter.com/cirdan12	Yes					
landonfuller					http://pbs.twimg.com/profile_images/473625640206209025/yZBDuRef_normal.jpeg					"landonfuller

"																			79	1763	3435	480	-14400	"Open source developer, CEO at http://t.co/DZ2j4f0gw9, your friendly neighborhood worker-owned software co-operative."	"Boulder, CO"	http://t.co/CZu2IzRr2D	Eastern Time (US & Canada)	39789.87454	Open Twitter Page for This Person	https://twitter.com/landonfuller	No					
christiinamary					http://pbs.twimg.com/profile_images/526935972098093056/ga5zRd6G_normal.jpeg					"christiinamary

@dunkknasty welcome :) Apple Crisp
is fresh out of the oven :)"																			743	329	39443	14160	-18000	"You dont have a soul, you are a soul. You have a body. - C.S Lewis."			Central Time (US & Canada)	39981.18027	Open Twitter Page for This Person	https://twitter.com/christiinamary	Yes					
dunkknasty					http://pbs.twimg.com/profile_images/508685208972189696/R0qJOUpV_normal.jpeg					"dunkknasty

"																			434	393	5225	2619	-14400	"God is within her, she will not fall. - Psalm 46:5"			Eastern Time (US & Canada)	40869.91647	Open Twitter Page for This Person	https://twitter.com/dunkknasty	No					
briansneddon					http://pbs.twimg.com/profile_images/2628292929/9b7ed9d0b02694b0314e6474c0d8342b_normal.jpeg					"briansneddon

@jfont25 As long as your phone
is setup for NFC payments itll
work just fine like contactless
credit cards, Apple Pay, and Google
Wallet. :)"																			34	60	620	58	-14400	A little nonsense now and then is relished by the wisest men.	"Sewell, NJ, USA"		Eastern Time (US & Canada)	39667.06538	Open Twitter Page for This Person	https://twitter.com/briansneddon	Yes					
jfont25					http://pbs.twimg.com/profile_images/497798404148187137/o_OaL2gS_normal.png					"jfont25

"																			83	19	166	4	-18000				Central Time (US & Canada)	39971.09339	Open Twitter Page for This Person	https://twitter.com/jfont25	No					
dayagiil					http://pbs.twimg.com/profile_images/525807700051890177/eqEHXIfJ_normal.jpeg					"dayagiil

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			2001	698	6959	59	-16200	La Vida es Corta Sonríe y se Feliz...?1D  @Harry_Styles @Real_Liam_Payne @NiallOfficial @Louis_Tomlinson @zaynmalik @onedirection	Venezuela		Caracas	41867.31206	Open Twitter Page for This Person	https://twitter.com/dayagiil	Yes					
kashkillaz					http://pbs.twimg.com/profile_images/501783774577688577/mW9CRJVE_normal.jpeg					"kashkillaz

RT @Scott_Inspire: #ClimbApp #Day9:
Real mornings are powered by Apple
:) http://t.co/o6JDYDGLD9"																			293	81	2427	37	-28800	"WSF 
World Students Feb"	Canada		Alaska	40358.89245	Open Twitter Page for This Person	https://twitter.com/kashkillaz	Yes					
scott_inspire					http://pbs.twimg.com/profile_images/515132822701371392/Kr0rZLgp_normal.png					"scott_inspire

"																			26	13	14	0						41897.66619	Open Twitter Page for This Person	https://twitter.com/scott_inspire	No					
collageminaj					http://pbs.twimg.com/profile_images/526512859392770048/Kk3b6UqT_normal.jpeg					"collageminaj

On iTunes now! :) http://t.co/jl1gdxY54T
#ONLYoniTunes Rt @AviKorbman: Where
is the explicit version of 'Only'?
@NICKIMINAJ"																			580	1669	56335	34413	-18000	~ don't be mad. let her get hers. xo. || 12.15 THE PINKPRINT...	With OTM. ??		Central Time (US & Canada)	40910.84345	Open Twitter Page for This Person	https://twitter.com/collageminaj	Yes					
avikorbman					http://pbs.twimg.com/profile_images/467922577068158976/EFHlVjlW_normal.jpeg					"avikorbman

"																			318	573	16797	1525	-18000	"Dream big, stay real."	"Newton, MA"	http://t.co/JVjUQllkek	Quito	39921.79995	Open Twitter Page for This Person	https://twitter.com/avikorbman	No					
nickiminaj					http://pbs.twimg.com/profile_images/526808055745216512/51_Oc0Iy_normal.jpeg					"nickiminaj

"																			3647	18231044	29814	19077	-14400	https://t.co/1CZDw5ncZg Anaconda is now on iTunes	On the verge of breaking free	http://t.co/Pw1xA9rhkd	Eastern Time (US & Canada)	39930.69216	Open Twitter Page for This Person	https://twitter.com/nickiminaj	No					
agusilli					http://pbs.twimg.com/profile_images/511716369688039424/9XBjv3A0_normal.jpeg					"agusilli

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			933	905	28659	1887	-10800	Tengo 17 años ... Argentina ?			Buenos Aires	40734.58728	Open Twitter Page for This Person	https://twitter.com/agusilli	Yes					
macmasi					http://pbs.twimg.com/profile_images/378800000852748247/67503b3ff88871547df8dc7646a955dd_normal.jpeg					"macmasi

Chega ai galera! ao vivo MacMagazine
no Ar #109 • https://t.co/tudTsojcZ0
http://t.co/LYqMHhMdVb venham ver
minha cara de sono :-)"																			484	27094	26989	13	-7200	"Head of Product Design da Movile, Co-Founder ONoffRE e MonsterJuice, palestrante, colaborador do MacMagazine, Apple Evangelist. Resumindo: Geek!"	São Paulo	http://t.co/PzVDSoSBS3	Brasilia	39505.83786	Open Twitter Page for This Person	https://twitter.com/macmasi	Yes					
lizmarionga					http://pbs.twimg.com/profile_images/517297978034618368/y0XkNI1m_normal.jpeg					"lizmarionga

RT @macmasi: Chega ai galera! ao
vivo MacMagazine no Ar #109 • https://t.co/tudTsojcZ0
http://t.co/LYqMHhMdVb venham ver
minha cara de son…"																			347	67	124	101	-7200	Estudante de medicina. Fotografa amadora nas horas livres. Geek. Tech lover. Movie lover.	Brasil	http://t.co/5IAam9J8ij	Brasilia	41316.55479	Open Twitter Page for This Person	https://twitter.com/lizmarionga	Yes					
godfirstamanda					http://pbs.twimg.com/profile_images/527295488425734144/5o0JzV4r_normal.jpeg					"godfirstamanda

hey cinnamon apple!! :)))) @deadxcliffordx"																			217	239	4496	11148		alex will and jaret follow idk but they stupid this might sound cheesy but i follow back	miami ???			41804.7992	Open Twitter Page for This Person	https://twitter.com/godfirstamanda	Yes					
deadxcliffordx					http://pbs.twimg.com/profile_images/527292157321691136/FMqaj0Bl_normal.jpeg					"deadxcliffordx

"																			1885	1483	29706	11292	-10800			https://t.co/gDwOnaSX1S	Atlantic Time (Canada)	41118.28703	Open Twitter Page for This Person	https://twitter.com/deadxcliffordx	No					
oniallg					http://pbs.twimg.com/profile_images/527286766576087040/GiBJz3rQ_normal.jpeg					"oniallg

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			1974	1164	21831	4395	-10800	comendo um pastel de flango e esse pastel pode ser você|Jiley e Larry shipper e se reclamar menstruo em você	Flyeliectioner ??		Greenland	40913.87896	Open Twitter Page for This Person	https://twitter.com/oniallg	Yes					
pieristephanie					http://pbs.twimg.com/profile_images/516960429084786688/awlXPyqG_normal.jpeg					"pieristephanie

@whoseyourMADIE that apple store
on second :)"																			259	170	269	1705						40543.06536	Open Twitter Page for This Person	https://twitter.com/pieristephanie	Yes					
whoseyourmadie					http://pbs.twimg.com/profile_images/512745864175951872/WfvJuG0B_normal.jpeg					"whoseyourmadie

"																			645	1077	13430	2531	-21600	wild child • aries	god made.jesus saved.WY raised		Mountain Time (US & Canada)	39990.27309	Open Twitter Page for This Person	https://twitter.com/whoseyourmadie	No					
onallee					http://pbs.twimg.com/profile_images/481922330419941376/OG4cLaoy_normal.png					"onallee

“@ronisizebristol: Support my girl
@Onallee and@AmsoMusic1 http://t.co/LmcgaDTRrs”
Thanks Bruv :) #OnalleeEP"																			440	322	388	140	0	http://t.co/aw5T7LkUN2 ONALLEE EP Feat. Am:So  iTunes NOW!		https://t.co/xZa0qlnfe8	London	41199.74125	Open Twitter Page for This Person	https://twitter.com/onallee	Yes					
ronisizebristol					http://pbs.twimg.com/profile_images/487231547683004419/oujF2gG5_normal.jpeg					"ronisizebristol

"																			95	16102	640	60	0	Producer / Musician / DJ	Bristol	http://t.co/QeDbZLXavM	Casablanca	39925.48591	Open Twitter Page for This Person	https://twitter.com/ronisizebristol	No					
abufahad91					http://pbs.twimg.com/profile_images/378800000428263094/f84c34f9d09addf1d5410beba14d8d6c_normal.jpeg					"abufahad91

RT @0xmaciln: :D mad my day “@NotPhilSchiller:
#Truestory at #Apple ???????? http://t.co/v1r1C4Ku6k”"																			168	40	420	139	10800	?? ??? ????	????????		Riyadh	40412.10424	Open Twitter Page for This Person	https://twitter.com/abufahad91	Yes					
notphilschiller					http://pbs.twimg.com/profile_images/512691181684133889/w6VsorXn_normal.jpeg					"notphilschiller

"																			24	1698	5422	131	7200	"Senior VP (King) of worldwide marketing at Apple Inc., Cupertino California. Of course a parody account. We can't innovate anymore, #myass"	Coopertino.		Athens	41071.54675	Open Twitter Page for This Person	https://twitter.com/notphilschiller	No					
0xmaciln					http://pbs.twimg.com/profile_images/460879619424784385/cEnwdgKw_normal.jpeg					"0xmaciln

"																			120	1430	3905	131	3600	"Mountain View, CA"		http://t.co/dmzYkG5uCK	Berlin	40458.65722	Open Twitter Page for This Person	https://twitter.com/0xmaciln	No					
louiscumdrop					http://pbs.twimg.com/profile_images/518531262789607424/03z8ml-H_normal.jpeg					"louiscumdrop

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			7540	6869	18647	5872		chicken and chili				41287.03719	Open Twitter Page for This Person	https://twitter.com/louiscumdrop	Yes					
charli_agusst50					http://pbs.twimg.com/profile_images/514525954652131328/5bh4D-9q_normal.jpeg					"charli_agusst50

@aldair_albert68 : Buenos dias
gente linda :) 1 dia menos para
ver a La Liga en Apple !!!!"																			81	20	201	25						41905.74547	Open Twitter Page for This Person	https://twitter.com/charli_agusst50	Yes					
aldair_albert68					http://pbs.twimg.com/profile_images/519914554927489024/B8IMcxQQ_normal.png					"aldair_albert68

"																			103	38	195	31						41905.75595	Open Twitter Page for This Person	https://twitter.com/aldair_albert68	No					
j0rdan0re0					http://pbs.twimg.com/profile_images/513383962425954304/BUJcPK4L_normal.jpeg					"j0rdan0re0

@gabicortez http://t.co/Akhq6vadB0
:-)"																			460	9050	146515	4223	-25200	"Refuse to lose, refuse to be defeated, refuse to have regrets. ??"	Las Vegas 	http://t.co/Jv1XGAjUai	Pacific Time (US & Canada)	40020.23314	Open Twitter Page for This Person	https://twitter.com/j0rdan0re0	Yes					
gabicortez					http://pbs.twimg.com/profile_images/525142509861609472/-NGeJD9r_normal.jpeg					"gabicortez

"																			231	840	34543	2598	-25200		west coast aquarius 		Pacific Time (US & Canada)	41316.78566	Open Twitter Page for This Person	https://twitter.com/gabicortez	No					
furtivelwt					http://pbs.twimg.com/profile_images/523894672318808065/zgvzwRrP_normal.jpeg					"furtivelwt

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			1093	643	7695	3125		???????????????????? want to be ???????????????????? cool but sadly ???????????????????? hotter ????	             ????harry's pants	http://t.co/8rclSaefSO		41646.72339	Open Twitter Page for This Person	https://twitter.com/furtivelwt	Yes					
adriana_coc					http://pbs.twimg.com/profile_images/526997935456653313/eDfvrj2__normal.jpeg					"adriana_coc

@MR_CODEINE_ @ClashofClans I'll
wait to buy it til somebody wins
then I'll ask if they have Apple
or Android Google Play I can buy
either :)"																			390	2830	6192	9212	-21600	"Big sports fan (Packers and Dodgers), life time gamer! Join me in Calisi on Clash of Clans, Plunder Pirates, and Boom Beach! in game name is Packers :)"			Mountain Time (US & Canada)	40782.69125	Open Twitter Page for This Person	https://twitter.com/adriana_coc	Yes					
clashofclans					http://pbs.twimg.com/profile_images/508012914125463552/hIWOgrFq_normal.png					"clashofclans

"																			454	492166	5233	1255	7200	The latest from Clash of Clans. Join today and lead your Clan to Victory! All tweets by the Barbarian! #ClashOfClans #ClashOn	The Town Hall	http://t.co/TLmi8pDdB6	Helsinki	41122.42236	Open Twitter Page for This Person	https://twitter.com/clashofclans	No					
mr_codeine_					http://pbs.twimg.com/profile_images/526913351616442368/TUGmGDjN_normal.jpeg					"mr_codeine_

"																			14	10	449	120		i lv jesus and i like women and like to party hv funn like to make people smile and help people	dallas tx			41892.33061	Open Twitter Page for This Person	https://twitter.com/mr_codeine_	No					
